epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1365.57,0.69158,0.49176,0.823,0.72501,0.60789,0.67306,0.54297,0.81106,0.75684,0.83415,0.000178417,0.000178417,0.000178417
43,1397.27,0.68739,0.48796,0.82332,0.75149,0.55783,0.66102,0.51875,0.86727,0.84501,0.84145,0.000177574,0.000177574,0.000177574
44,1428.39,0.70897,0.51643,0.81902,0.80048,0.59507,0.67004,0.51218,0.93611,0.78735,0.85475,0.00017673,0.00017673,0.00017673
45,1460.09,0.72775,0.50201,0.82698,0.68064,0.61936,0.66864,0.52121,0.84917,0.7451,0.83423,0.000175887,0.000175887,0.000175887
46,1492.03,0.71791,0.50165,0.81412,0.75359,0.59296,0.65827,0.5255,0.83544,0.81487,0.83759,0.000175043,0.000175043,0.000175043
47,1523.82,0.80013,0.53196,0.82378,0.73476,0.56122,0.64256,0.53335,0.6673,0.8386,0.8049,0.0001742,0.0001742,0.0001742
48,1555.05,0.72556,0.48966,0.82865,0.80954,0.57478,0.69362,0.58557,0.6327,0.77662,0.80514,0.000173356,0.000173356,0.000173356
49,1588.42,0.70438,0.49192,0.81919,0.67655,0.57906,0.66349,0.54384,0.73651,0.8264,0.82352,0.000172513,0.000172513,0.000172513
50,1621.03,0.70076,0.49476,0.81517,0.57766,0.62205,0.65063,0.49261,0.90957,0.84188,0.84284,0.000171669,0.000171669,0.000171669
51,1653.22,0.69052,0.51355,0.81658,0.76168,0.55512,0.68239,0.52911,0.87476,0.85825,0.83708,0.000170826,0.000170826,0.000170826
52,1684.25,0.68886,0.45067,0.81618,0.75021,0.644,0.70481,0.57662,0.72229,0.75137,0.81702,0.000169983,0.000169983,0.000169983
53,1716.12,0.70042,0.46906,0.81576,0.70507,0.66969,0.6983,0.56836,0.68864,0.72394,0.81152,0.000169139,0.000169139,0.000169139
54,1750.16,0.68621,0.44047,0.82425,0.68213,0.63471,0.70661,0.58493,0.69069,0.7241,0.81661,0.000168296,0.000168296,0.000168296
55,1783.63,0.70692,0.44024,0.8205,0.73864,0.60878,0.70313,0.53904,0.90023,0.79822,0.83851,0.000167452,0.000167452,0.000167452
56,1817.69,0.69672,0.45615,0.81778,0.59132,0.67816,0.70213,0.55839,0.84984,0.76475,0.84097,0.000166609,0.000166609,0.000166609
57,1853.37,0.65921,0.44168,0.813,0.72669,0.66206,0.71126,0.58093,0.74516,0.71139,0.81542,0.000165765,0.000165765,0.000165765
58,1887.09,0.69374,0.4376,0.8197,0.65869,0.67828,0.71058,0.59445,0.66213,0.72919,0.80762,0.000164922,0.000164922,0.000164922
59,1920.12,0.67534,0.45883,0.80141,0.67759,0.6408,0.67836,0.5635,0.71015,0.79137,0.8141,0.000164078,0.000164078,0.000164078
60,1952.47,0.67109,0.44462,0.81652,0.78368,0.53962,0.66235,0.53429,0.82531,0.81565,0.82822,0.000163235,0.000163235,0.000163235
61,1983.88,0.64699,0.4225,0.80649,0.76826,0.57131,0.66288,0.52813,0.87529,0.85845,0.83457,0.000162391,0.000162391,0.000162391
62,2015.61,0.68923,0.43067,0.81765,0.73071,0.62823,0.7021,0.58026,0.68169,0.7742,0.80816,0.000161548,0.000161548,0.000161548
63,2046.59,0.68559,0.43491,0.81262,0.70709,0.58724,0.66028,0.55387,0.6422,0.7624,0.80314,0.000160704,0.000160704,0.000160704
64,2078.69,0.61946,0.41548,0.80511,0.72033,0.59857,0.67564,0.56617,0.69582,0.76404,0.81281,0.000159861,0.000159861,0.000159861
65,2112.17,0.65649,0.41999,0.80076,0.74091,0.61795,0.69304,0.5703,0.70239,0.73512,0.80834,0.000159017,0.000159017,0.000159017
66,2143.08,0.65437,0.42727,0.80132,0.7523,0.61377,0.70847,0.58331,0.74303,0.75434,0.81702,0.000158174,0.000158174,0.000158174
67,2169.96,0.62652,0.40596,0.80867,0.62465,0.66465,0.71589,0.57739,0.76731,0.76883,0.82068,0.00015733,0.00015733,0.00015733
68,2202.96,0.64514,0.39471,0.80155,0.74386,0.61392,0.69688,0.56872,0.72176,0.77859,0.81738,0.000156487,0.000156487,0.000156487
