epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,839.005,0.68705,0.46968,0.81231,0.68039,0.54536,0.61162,0.50346,0.66794,1.01631,0.80807,0.000172513,0.000172513,0.000172513
50,855.546,0.70731,0.49038,0.81481,0.6735,0.54927,0.62597,0.48086,0.85836,1.00354,0.83139,0.000171669,0.000171669,0.000171669
51,872.435,0.72029,0.50875,0.81227,0.60818,0.55208,0.61789,0.48609,0.77527,0.98291,0.81469,0.000170826,0.000170826,0.000170826
52,890.049,0.70156,0.47711,0.81651,0.78159,0.48033,0.58768,0.47894,0.69574,1.01803,0.80845,0.000169983,0.000169983,0.000169983
53,906.914,0.69857,0.4781,0.80443,0.67155,0.57696,0.62234,0.49548,0.69547,0.97302,0.80865,0.000169139,0.000169139,0.000169139
54,923.843,0.68265,0.4705,0.81646,0.64221,0.57076,0.57761,0.46815,0.76822,0.9823,0.81967,0.000168296,0.000168296,0.000168296
55,940.748,0.6622,0.46243,0.80504,0.73328,0.51216,0.58837,0.47168,0.76333,1.09875,0.81709,0.000167452,0.000167452,0.000167452
56,957.991,0.66845,0.46595,0.81672,0.63501,0.56556,0.58298,0.47972,0.6777,0.95823,0.81148,0.000166609,0.000166609,0.000166609
57,974.179,0.66281,0.4763,0.80629,0.77293,0.53015,0.61266,0.50413,0.6529,0.85839,0.80927,0.000165765,0.000165765,0.000165765
58,991.179,0.66103,0.44546,0.83102,0.6947,0.51534,0.57592,0.47415,0.65078,0.96969,0.80919,0.000164922,0.000164922,0.000164922
59,1008.23,0.64093,0.44016,0.81639,0.65402,0.53585,0.58305,0.47723,0.6643,0.94067,0.80758,0.000164078,0.000164078,0.000164078
60,1025.16,0.66732,0.43239,0.8095,0.6746,0.5184,0.61099,0.48442,0.74478,0.90111,0.81864,0.000163235,0.000163235,0.000163235
61,1042.16,0.67306,0.43882,0.811,0.81503,0.51146,0.65157,0.52606,0.7052,0.8888,0.8095,0.000162391,0.000162391,0.000162391
62,1059.17,0.66242,0.46822,0.80616,0.76702,0.5294,0.63382,0.52323,0.63857,0.96609,0.80295,0.000161548,0.000161548,0.000161548
63,1076.45,0.63683,0.42826,0.81389,0.72942,0.53951,0.60524,0.50011,0.65428,0.9558,0.8063,0.000160704,0.000160704,0.000160704
64,1093.42,0.64607,0.42506,0.80773,0.62436,0.54368,0.59152,0.48803,0.66293,0.95975,0.80794,0.000159861,0.000159861,0.000159861
65,1110.59,0.64858,0.41576,0.80486,0.67748,0.54562,0.62964,0.51392,0.71187,0.93205,0.81049,0.000159017,0.000159017,0.000159017
66,1127.21,0.65346,0.40563,0.80857,0.75198,0.50501,0.63685,0.50485,0.78711,0.95722,0.81829,0.000158174,0.000158174,0.000158174
67,1144.25,0.71168,0.4404,0.80733,0.76163,0.54507,0.65976,0.53397,0.66085,0.95971,0.80415,0.00015733,0.00015733,0.00015733
68,1161.29,0.67604,0.42439,0.81136,0.77992,0.52632,0.62602,0.52112,0.67105,0.9281,0.81271,0.000156487,0.000156487,0.000156487
69,1178.36,0.64372,0.39985,0.81388,0.80388,0.5274,0.63529,0.49042,0.82963,0.94458,0.83344,0.000155643,0.000155643,0.000155643
70,1194.83,0.64614,0.39695,0.81458,0.76531,0.53123,0.61494,0.47359,0.86727,0.991,0.83268,0.0001548,0.0001548,0.0001548
71,1211.72,0.68606,0.41357,0.8205,0.68437,0.54585,0.61183,0.50249,0.63965,0.9806,0.80321,0.000153956,0.000153956,0.000153956
72,1228.03,0.61708,0.39157,0.80197,0.79077,0.53395,0.65047,0.54158,0.66341,0.90764,0.80635,0.000153113,0.000153113,0.000153113
73,1245.03,0.63271,0.39141,0.80603,0.7024,0.56177,0.66318,0.54111,0.70796,0.94422,0.81625,0.000152269,0.000152269,0.000152269
74,1262.28,0.61056,0.38051,0.79772,0.6738,0.6037,0.66557,0.53546,0.69714,0.88773,0.80667,0.000151426,0.000151426,0.000151426
75,1279.22,0.63691,0.37749,0.80616,0.68923,0.63302,0.7123,0.5689,0.72655,0.9038,0.81432,0.000150582,0.000150582,0.000150582
76,1296.28,0.63419,0.3962,0.80037,0.74171,0.57324,0.6966,0.5797,0.60651,0.86061,0.80059,0.000149739,0.000149739,0.000149739
77,1313.33,0.64621,0.38187,0.80753,0.80225,0.54706,0.6499,0.53779,0.68439,0.87834,0.80945,0.000148896,0.000148896,0.000148896
78,1330.37,0.614,0.37033,0.8019,0.76318,0.54246,0.67617,0.54246,0.7393,0.9116,0.81067,0.000148052,0.000148052,0.000148052
79,1347.81,0.62674,0.38976,0.8004,0.80988,0.5376,0.63984,0.51266,0.74061,0.9346,0.81343,0.000147209,0.000147209,0.000147209
80,1365,0.60286,0.37503,0.80167,0.76792,0.53472,0.64295,0.54199,0.64084,0.9199,0.80751,0.000146365,0.000146365,0.000146365
81,1381.9,0.59743,0.37689,0.80028,0.75993,0.59511,0.66129,0.54928,0.65824,0.89782,0.80697,0.000145522,0.000145522,0.000145522
82,1398.79,0.60314,0.38618,0.80942,0.74731,0.54952,0.61855,0.51349,0.66474,0.92907,0.80391,0.000144678,0.000144678,0.000144678
83,1415.9,0.59301,0.37529,0.80391,0.78732,0.51992,0.60559,0.50028,0.70657,0.91453,0.80903,0.000143835,0.000143835,0.000143835
84,1433.03,0.5872,0.36742,0.79431,0.75613,0.50949,0.61435,0.50191,0.67455,0.93577,0.8022,0.000142991,0.000142991,0.000142991
85,1449.8,0.57267,0.35746,0.80562,0.69634,0.57214,0.63988,0.52893,0.6312,0.8982,0.79965,0.000142148,0.000142148,0.000142148
86,1466.68,0.59189,0.36057,0.79895,0.66378,0.57036,0.63565,0.52786,0.6462,0.90274,0.80007,0.000141304,0.000141304,0.000141304
87,1483.24,0.61981,0.37403,0.80426,0.67196,0.58434,0.6271,0.5203,0.66208,0.94288,0.80884,0.000140461,0.000140461,0.000140461
88,1499.79,0.61891,0.38302,0.80247,0.65655,0.5498,0.61821,0.5092,0.69282,0.9555,0.8073,0.000139617,0.000139617,0.000139617
89,1516.71,0.59552,0.36984,0.79609,0.60598,0.62224,0.64121,0.53326,0.63045,0.86848,0.80212,0.000138774,0.000138774,0.000138774
90,1533.35,0.58026,0.37451,0.79975,0.77456,0.52408,0.60353,0.51015,0.60555,0.90875,0.79842,0.00013793,0.00013793,0.00013793
91,1550.35,0.58006,0.38184,0.80676,0.75661,0.47805,0.60548,0.49983,0.65545,0.94345,0.80292,0.000137087,0.000137087,0.000137087
92,1567.21,0.58091,0.39582,0.80292,0.68019,0.51822,0.60339,0.49623,0.66913,0.98782,0.81164,0.000136243,0.000136243,0.000136243
93,1583.98,0.5825,0.4004,0.79619,0.7079,0.49453,0.6049,0.50458,0.62927,0.91363,0.80181,0.0001354,0.0001354,0.0001354
94,1600.82,0.56706,0.37495,0.80959,0.74418,0.48349,0.61467,0.52096,0.60568,0.92308,0.79848,0.000134556,0.000134556,0.000134556
95,1617.23,0.57468,0.36494,0.80708,0.67983,0.5803,0.62692,0.52471,0.64714,0.95562,0.80746,0.000133713,0.000133713,0.000133713
96,1634.3,0.58429,0.37224,0.80325,0.65265,0.5512,0.64693,0.53283,0.69125,0.88792,0.80373,0.000132869,0.000132869,0.000132869
97,1651.21,0.5831,0.38218,0.80717,0.69509,0.55877,0.65485,0.54868,0.63505,0.89422,0.79477,0.000132026,0.000132026,0.000132026
98,1667.92,0.57796,0.35521,0.79075,0.67133,0.56153,0.6318,0.54148,0.58578,0.895,0.79161,0.000131182,0.000131182,0.000131182
99,1684.92,0.56726,0.36581,0.80258,0.72792,0.54156,0.61346,0.51818,0.62543,0.9509,0.79714,0.000130339,0.000130339,0.000130339
100,1701.92,0.57345,0.36858,0.7926,0.73868,0.52958,0.65963,0.55155,0.63583,0.89868,0.79606,0.000129495,0.000129495,0.000129495
101,1718.64,0.55544,0.34883,0.8014,0.66702,0.53645,0.64616,0.54056,0.61644,0.86652,0.79476,0.000128652,0.000128652,0.000128652
