epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.35,1.09045,5.62006,0.89493,0.60877,0.18569,0.09895,0.07285,1.04681,2.95738,0.84283,7.00405e-05,7.00405e-05,7.00405e-05
2,38.1285,0.95544,3.48602,0.8622,0.47868,0.29754,0.1894,0.14381,0.89279,2.26325,0.83503,0.000140482,0.000140482,0.000140482
3,55.3716,0.94852,2.98212,0.84872,0.5495,0.29019,0.24527,0.18429,0.922,1.94354,0.83853,0.000210361,0.000210361,0.000210361
4,72.4767,0.87741,2.56192,0.84075,0.46734,0.36369,0.32103,0.20967,0.96335,1.7792,0.85542,0.00021047,0.00021047,0.00021047
5,89.6361,0.9126,2.18406,0.85715,0.4983,0.40199,0.40785,0.29529,0.99976,1.54221,0.86423,0.000209626,0.000209626,0.000209626
6,106.008,0.83553,1.88556,0.84085,0.4801,0.39542,0.42205,0.31106,0.93749,1.48863,0.85061,0.000208783,0.000208783,0.000208783
7,123.451,0.91484,1.68953,0.85666,0.68312,0.35718,0.45529,0.354,0.80241,1.3526,0.8305,0.000207939,0.000207939,0.000207939
8,141.483,0.89987,1.48335,0.85416,0.62623,0.4249,0.47722,0.34739,0.99371,1.31936,0.85903,0.000207096,0.000207096,0.000207096
9,158.824,0.89425,1.3888,0.84959,0.66309,0.37723,0.44753,0.31208,1.04942,1.4579,0.8621,0.000206252,0.000206252,0.000206252
10,175.654,0.88538,1.30428,0.84574,0.58491,0.44429,0.47944,0.32426,1.13925,1.39252,0.88544,0.000205409,0.000205409,0.000205409
11,192.77,0.91608,1.18614,0.85138,0.57141,0.49296,0.50037,0.36077,1.01091,1.35889,0.87001,0.000204565,0.000204565,0.000204565
12,209.608,0.87371,1.22091,0.84951,0.60828,0.4101,0.49427,0.392,0.7681,1.30771,0.82315,0.000203722,0.000203722,0.000203722
13,226.913,0.82987,1.09101,0.83771,0.67992,0.41684,0.52734,0.41643,0.81859,1.21977,0.83006,0.000202878,0.000202878,0.000202878
14,243.925,0.80629,1.03375,0.82945,0.70958,0.41491,0.53157,0.41511,0.82179,1.15751,0.8303,0.000202035,0.000202035,0.000202035
15,260.941,0.79614,1.00379,0.82032,0.68371,0.43178,0.55328,0.44593,0.74771,1.07021,0.82333,0.000201191,0.000201191,0.000201191
16,278.155,0.7801,0.89516,0.8174,0.58624,0.52769,0.57281,0.45168,0.82071,1.05416,0.83403,0.000200348,0.000200348,0.000200348
17,294.971,0.78618,0.85394,0.82746,0.70366,0.46589,0.53447,0.42233,0.81954,1.07867,0.82923,0.000199504,0.000199504,0.000199504
18,311.732,0.75359,0.87202,0.83115,0.67921,0.43315,0.52878,0.41264,0.84429,1.19874,0.83191,0.000198661,0.000198661,0.000198661
19,328.789,0.7826,0.85849,0.83394,0.62792,0.48373,0.58705,0.45643,0.8658,1.09997,0.84101,0.000197817,0.000197817,0.000197817
20,345.67,0.77671,0.84411,0.82341,0.64893,0.50542,0.55824,0.43814,0.78748,1.08524,0.82569,0.000196974,0.000196974,0.000196974
21,362.719,0.77955,0.83562,0.84526,0.67289,0.4791,0.55275,0.43075,0.83576,1.09067,0.83726,0.00019613,0.00019613,0.00019613
22,379.914,0.78662,0.80489,0.82797,0.62178,0.45928,0.55341,0.42466,0.87865,1.14918,0.84762,0.000195287,0.000195287,0.000195287
23,398.34,0.78595,0.71289,0.83498,0.63437,0.50415,0.56615,0.42704,0.95218,1.05924,0.84142,0.000194443,0.000194443,0.000194443
24,415.787,0.80186,0.68804,0.82827,0.65522,0.45527,0.52625,0.39699,0.89998,1.17835,0.83775,0.0001936,0.0001936,0.0001936
25,433.002,0.7368,0.671,0.82531,0.68312,0.4565,0.54516,0.42409,0.86243,1.05766,0.83559,0.000192756,0.000192756,0.000192756
26,450.108,0.77165,0.67949,0.82979,0.73562,0.44082,0.54717,0.45055,0.72999,1.04251,0.81841,0.000191913,0.000191913,0.000191913
27,467.006,0.76636,0.65496,0.83209,0.65526,0.50593,0.56915,0.45777,0.75565,1.06355,0.82465,0.00019107,0.00019107,0.00019107
28,483.333,0.74599,0.64211,0.82255,0.69787,0.47502,0.57823,0.47269,0.74086,0.9955,0.81889,0.000190226,0.000190226,0.000190226
29,500.403,0.79844,0.66188,0.83068,0.63973,0.50283,0.57527,0.45319,0.82394,1.12574,0.83707,0.000189383,0.000189383,0.000189383
30,517.157,0.79654,0.6759,0.84181,0.60387,0.55147,0.59134,0.4399,0.9031,1.01122,0.83383,0.000188539,0.000188539,0.000188539
31,534.151,0.79472,0.61904,0.82427,0.66297,0.50912,0.59846,0.48271,0.73933,1.06838,0.81827,0.000187696,0.000187696,0.000187696
32,551.259,0.78318,0.62523,0.82285,0.64522,0.50366,0.55751,0.46374,0.6614,0.97119,0.80749,0.000186852,0.000186852,0.000186852
33,568.044,0.7236,0.59901,0.82648,0.58175,0.58001,0.59406,0.45479,0.88996,0.97703,0.8446,0.000186009,0.000186009,0.000186009
34,584.941,0.7762,0.5802,0.8254,0.61373,0.57048,0.60214,0.456,0.89893,0.9932,0.84451,0.000185165,0.000185165,0.000185165
35,602.007,0.74967,0.59421,0.82748,0.67163,0.4964,0.57282,0.44842,0.8322,1.07174,0.83191,0.000184322,0.000184322,0.000184322
36,618.938,0.73461,0.56878,0.83082,0.64522,0.56302,0.58855,0.45833,0.84394,0.95959,0.83771,0.000183478,0.000183478,0.000183478
37,635.859,0.75906,0.55994,0.82275,0.75322,0.47262,0.59229,0.46968,0.76956,1.00112,0.82215,0.000182635,0.000182635,0.000182635
38,653.132,0.70843,0.54518,0.81855,0.67492,0.55303,0.59645,0.48297,0.6997,0.94681,0.81748,0.000181791,0.000181791,0.000181791
39,669.946,0.70238,0.51886,0.822,0.64417,0.53128,0.6121,0.48666,0.72402,1.00841,0.82052,0.000180948,0.000180948,0.000180948
40,686.411,0.70092,0.53752,0.81189,0.58379,0.55104,0.58304,0.45639,0.8108,1.00957,0.82798,0.000180104,0.000180104,0.000180104
41,703.719,0.71685,0.51549,0.81431,0.66784,0.51944,0.59268,0.47273,0.73878,0.98579,0.81734,0.000179261,0.000179261,0.000179261
42,720.685,0.70759,0.52827,0.81773,0.71402,0.50851,0.60369,0.47479,0.77187,0.97588,0.82012,0.000178417,0.000178417,0.000178417
43,737.442,0.70559,0.53173,0.82639,0.6949,0.57508,0.62871,0.50631,0.77498,0.91984,0.83163,0.000177574,0.000177574,0.000177574
44,754.565,0.68611,0.52518,0.82078,0.71683,0.55208,0.60939,0.48482,0.71818,0.9159,0.81408,0.00017673,0.00017673,0.00017673
45,771.758,0.69905,0.52931,0.81097,0.71671,0.53176,0.59067,0.47107,0.73502,0.95584,0.8239,0.000175887,0.000175887,0.000175887
46,788.55,0.69032,0.48331,0.81936,0.75767,0.52323,0.60903,0.4786,0.78667,0.9724,0.82235,0.000175043,0.000175043,0.000175043
47,805.369,0.711,0.47763,0.81713,0.71358,0.54955,0.62555,0.50205,0.70108,0.97135,0.81131,0.0001742,0.0001742,0.0001742
48,822.025,0.71258,0.47313,0.80865,0.76465,0.56041,0.65418,0.53534,0.6327,0.87885,0.80523,0.000173356,0.000173356,0.000173356
